;host_response_time;host_response_rate;host_is_superhost;host_listings_count;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;mes;ano
408;within a day;50%;f;1.0;f;Urca;Apartment;Private room;2;1.5;1.0;1.0;"{Internet,Wifi,Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Pocket wifi"",Other}";$75.00;$342.00;$137.00;1;$34.00;7;10;93.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;9;2019
409;;;f;1.0;f;Copacabana;Apartment;Entire home/apt;4;1.0;1.0;4.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer""}";$208.00;;;2;$20.00;1;2;90.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;flexible;9;2019
410;within an hour;100%;f;5.0;t;Copacabana;Apartment;Entire home/apt;4;2.5;2.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,Elevator,Washer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Wide clearance to bed"",""Host greets you"",Waterfront}";$758.00;$2,105.00;$547.00;1;$0.00;3;29;93.0;10.0;9.0;10.0;10.0;10.0;9.0;t;f;strict;9;2019
411;within a day;100%;t;1.0;t;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;"{TV,Internet,Wifi,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$79.00;$500.00;$0.00;2;$60.00;3;44;93.0;10.0;9.0;10.0;10.0;9.0;9.0;f;f;moderate;9;2019
412;within a few hours;100%;f;1.0;f;Copacabana;Apartment;Entire home/apt;6;1.0;1.0;6.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Long term stays allowed""}";$229.00;$600.00;$170.00;4;$0.00;7;10;87.0;9.0;9.0;9.0;9.0;8.0;9.0;t;f;strict;9;2019
413;within a few hours;97%;f;50.0;t;Leblon;Apartment;Entire home/apt;10;2.5;3.0;5.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Pack ’n Play/travel crib"",""Hot water"",""Host greets you""}";$201.00;$900.00;$160.00;2;$50.00;2;83;93.0;10.0;9.0;10.0;10.0;10.0;9.0;t;f;strict;9;2019
414;;;f;1.0;f;Flamengo;Apartment;Entire home/apt;2;1.0;1.0;2.0;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials}";$514.00;;$137.00;1;$68.00;1;1;80.0;;;;;;;f;f;strict;9;2019
415;;;f;1.0;f;Barra da Tijuca;Apartment;Private room;1;1.0;1.0;1.0;"{TV,""Cable TV"",Internet,Wifi,Kitchen,Doorman,""Pets live on this property"",Dog(s),Elevator,""Buzzer/wireless intercom"",Washer,""Lock on bedroom door""}";$1,301.00;;;1;$0.00;1;0;;;;;;;;t;f;flexible;9;2019
416;;;f;1.0;t;Santa Teresa;Apartment;Entire home/apt;7;1.0;3.0;6.0;"{Internet,Wifi,Kitchen,Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",Bathtub,""Children’s books and toys"",""Babysitter recommendations"",""Room-darkening shades"",""Children’s dinnerware"",""Host greets you""}";$338.00;$421.00;$126.00;4;$84.00;1;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;moderate;9;2019
417;within an hour;100%;t;6.0;t;Copacabana;Apartment;Entire home/apt;5;1.5;2.0;5.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Essentials,""24-hour check-in""}";$301.00;$200.00;$150.00;5;$0.00;2;68;87.0;9.0;9.0;9.0;9.0;9.0;9.0;f;f;strict;9;2019
418;within a few hours;100%;f;4.0;t;Copacabana;Apartment;Entire home/apt;6;1.0;2.0;4.0;"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,Iron,""Self check-in"",""Front desk/doorperson"",""Children’s books and toys"",""Hot water"",""Long term stays allowed""}";$171.00;$311.00;$152.00;5;$50.00;1;130;86.0;8.0;8.0;10.0;10.0;10.0;8.0;f;f;strict;9;2019
419;;;f;1.0;f;Copacabana;Apartment;Entire home/apt;4;1.0;0.0;2.0;"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Family/kid friendly"",Washer}";$96.00;;$114.00;1;$0.00;2;101;91.0;9.0;9.0;10.0;10.0;9.0;9.0;f;f;strict;9;2019
420;within a few hours;100%;f;5.0;f;Barra da Tijuca;House;Private room;2;1.0;1.0;1.0;"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events""}";$208.00;;$80.00;1;$0.00;1;8;95.0;10.0;9.0;10.0;10.0;9.0;10.0;t;f;moderate;9;2019
421;within an hour;100%;f;1.0;t;Copacabana;Apartment;Entire home/apt;2;1.0;1.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""First aid kit"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Host greets you""}";$171.00;$685.00;$223.00;2;$171.00;2;2;100.0;10.0;10.0;9.0;10.0;10.0;10.0;f;f;moderate;9;2019
422;within an hour;100%;f;3.0;t;Flamengo;Apartment;Private room;3;2.5;1.0;3.0;"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",Waterfront}";$215.00;;$99.00;2;$120.00;1;115;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;9;2019
423;within an hour;100%;f;5.0;t;Ipanema;Apartment;Entire home/apt;6;2.5;3.0;4.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Host greets you""}";$188.00;$421.00;$421.00;7;$0.00;3;11;90.0;9.0;8.0;8.0;9.0;9.0;8.0;f;f;strict;9;2019
424;;;f;1.0;f;Copacabana;Apartment;Entire home/apt;4;2.0;2.0;2.0;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron}";$400.00;$800.00;$150.00;1;$0.00;5;6;92.0;10.0;9.0;9.0;9.0;10.0;8.0;f;f;strict;9;2019
425;within an hour;100%;f;5.0;t;Ipanema;Apartment;Entire home/apt;4;1.0;1.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Free parking on premises"",Elevator,Essentials,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Long term stays allowed"",""Host greets you""}";$212.00;$421.00;$421.00;2;$42.00;3;15;83.0;8.0;8.0;9.0;9.0;10.0;8.0;t;f;strict;9;2019
426;within an hour;100%;f;3.0;f;Copacabana;Apartment;Entire home/apt;4;1.0;2.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Hot water"",""Host greets you""}";$120.00;;$100.00;2;$70.00;4;46;88.0;9.0;8.0;10.0;10.0;10.0;9.0;f;f;strict;9;2019
427;within a day;60%;f;21.0;t;Tanque;House;Entire home/apt;10;1.5;2.0;4.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Breakfast,""Family/kid friendly"",Washer,Dryer,Essentials}";$150.00;;;4;$25.00;1;9;90.0;9.0;8.0;9.0;9.0;9.0;9.0;f;f;strict;9;2019
428;within an hour;100%;t;2.0;f;Copacabana;Apartment;Entire home/apt;8;2.0;3.0;7.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Step-free access"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Host greets you"",Beachfront}";$649.00;$1,684.00;$505.00;6;$168.00;3;73;96.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict;9;2019
429;within an hour;100%;f;8.0;t;Copacabana;Apartment;Entire home/apt;2;1.0;1.0;1.0;"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,Doorman,Elevator}";$219.00;$400.00;$80.00;2;$80.00;3;8;77.0;9.0;7.0;10.0;10.0;9.0;8.0;f;f;strict;9;2019
430;within an hour;70%;f;1.0;f;Copacabana;Loft;Entire home/apt;3;1.0;1.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Other}";$126.00;$380.00;$100.00;1;$0.00;2;126;80.0;8.0;8.0;10.0;9.0;10.0;8.0;t;f;strict;9;2019
431;within a few hours;100%;t;5.0;f;Leblon;Apartment;Private room;3;1.5;1.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Smoking allowed"",Doorman,""Free street parking"",""Hot tub"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""translation missing: en.hosting_amenity_49"",""Hot water"",""Host greets you""}";$113.00;$800.00;$50.00;1;$50.00;2;45;95.0;10.0;10.0;9.0;10.0;10.0;9.0;f;f;strict;9;2019
432;within a few hours;100%;t;5.0;f;Centro;Apartment;Entire home/apt;4;1.0;1.0;4.0;"{TV,Wifi,""Air conditioning"",Kitchen,Doorman,""Pets live on this property"",Dog(s),Cat(s),Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}";$130.00;$1,500.00;$120.00;2;$30.00;2;10;87.0;10.0;9.0;10.0;10.0;9.0;9.0;f;f;strict;9;2019
433;;;f;3.0;f;Anil;House;Private room;2;6.0;1.0;1.0;"{""Cable TV"",Wifi,""Air conditioning"",Pool,""Free parking on premises"",Breakfast,""Pets live on this property"",Cat(s),Washer,Dryer,Essentials,Hangers,""Hot water""}";$181.00;;;2;$100.00;3;11;96.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;9;2019
434;;;f;1.0;f;Flamengo;Apartment;Private room;2;1.0;1.0;1.0;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Elevator}";$301.00;$200.00;$90.00;1;$40.00;1;9;93.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;moderate;9;2019
435;within a day;100%;f;4.0;t;Copacabana;Apartment;Entire home/apt;2;1.0;1.0;1.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$150.00;$0.00;$140.00;1;$0.00;4;25;98.0;10.0;10.0;10.0;10.0;9.0;9.0;f;f;strict;9;2019
436;;;f;1.0;f;Botafogo;Apartment;Entire home/apt;1;0.0;1.0;1.0;{};$342.00;;;1;$0.00;1;0;;;;;;;;f;f;flexible;9;2019
437;;;f;1.0;t;Copacabana;Apartment;Entire home/apt;4;1.0;1.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Suitable for events"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron}";$201.00;$500.00;;2;$50.00;3;70;93.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;9;2019
438;within an hour;100%;t;2.0;t;Glória;Apartment;Private room;3;1.0;2.0;1.0;"{""Cable TV"",Wifi,Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Smart lock""}";$68.00;;;2;$50.00;2;141;95.0;10.0;9.0;10.0;10.0;9.0;10.0;f;f;strict;9;2019
439;within an hour;100%;f;10.0;t;Barra da Tijuca;House;Shared room;16;3.0;1.0;1.0;"{Wifi,Kitchen,""Free parking on premises"",Breakfast}";$89.00;;;1;$90.00;2;20;91.0;9.0;9.0;9.0;9.0;10.0;9.0;t;f;strict;9;2019
440;within an hour;100%;f;3.0;t;Botafogo;Apartment;Private room;1;1.0;1.0;1.0;"{TV,Wifi,""Air conditioning"",Kitchen,Gym,Breakfast,Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$199.00;;;1;$0.00;1;5;100.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;9;2019
441;within a few hours;100%;f;9.0;t;Copacabana;Apartment;Entire home/apt;3;1.0;1.0;1.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,Iron,""Self check-in"",""Front desk/doorperson"",""Hot water""}";$171.00;$854.00;$256.00;2;$120.00;3;66;89.0;9.0;9.0;9.0;9.0;9.0;9.0;t;f;strict;9;2019
442;;;f;1.0;f;Vidigal;Apartment;Entire home/apt;4;1.0;1.0;1.0;"{TV,Internet,Kitchen,""Smoking allowed"",Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Fire extinguisher"",Iron,""Laptop friendly workspace""}";$1,001.00;$500.00;$100.00;2;$100.00;3;0;;;;;;;;f;f;flexible;9;2019
443;within a few hours;100%;f;14.0;t;São Conrado;Apartment;Entire home/apt;4;1.0;1.0;3.0;"{Internet,Wifi,""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Dog(s),Cat(s),""Family/kid friendly""}";$410.00;$1,025.00;$137.00;2;$0.00;5;7;87.0;9.0;6.0;9.0;10.0;9.0;8.0;f;f;strict;9;2019
444;within an hour;100%;t;1.0;f;Humaitá;Apartment;Entire home/apt;6;1.5;3.0;5.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Breakfast,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Private entrance"",Crib,""Room-darkening shades"",""Host greets you""}";$280.00;$900.00;$160.00;5;$50.00;3;41;97.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict;9;2019
445;;;f;1.0;f;Botafogo;Apartment;Shared room;1;1.0;1.0;1.0;"{""Cable TV"",Internet,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,""Pets live on this property"",""Other pet(s)"",Elevator,""Buzzer/wireless intercom""}";$304.00;;;1;$256.00;1;0;;;;;;;;f;f;moderate;9;2019
446;a few days or more;0%;f;1.0;f;Gávea;Apartment;Private room;8;2.0;2.0;6.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$181.00;$976.00;$120.00;1;$0.00;3;1;97.0;10.0;8.0;10.0;10.0;10.0;10.0;f;f;flexible;9;2019
447;within an hour;100%;f;2.0;f;Copacabana;Apartment;Private room;3;1.0;1.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,""Pets live on this property"",Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Paid parking on premises""}";$99.00;$0.00;$70.00;1;$60.00;1;13;97.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;flexible;9;2019
448;;;f;1.0;t;Copacabana;Apartment;Entire home/apt;4;1.0;1.0;3.0;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Hangers}";$110.00;$326.00;$140.00;2;$40.00;30;0;;;;;;;;f;f;strict;9;2019
449;;;f;1.0;f;Catete;Apartment;Entire home/apt;4;2.0;2.0;2.0;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer}";$400.00;$400.00;$100.00;1;$0.00;1;15;95.0;10.0;9.0;10.0;10.0;9.0;9.0;f;f;strict;9;2019
450;within a few hours;100%;f;2.0;f;Vidigal;Apartment;Entire home/apt;5;2.0;3.0;3.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer}";$949.00;$1,250.00;$400.00;1;$0.00;5;2;95.0;9.0;10.0;10.0;10.0;9.0;9.0;f;f;strict;9;2019
451;within a day;100%;f;2.0;f;Ipanema;Apartment;Entire home/apt;6;2.0;3.0;4.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Paid parking off premises"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Disabled parking spot"",""Host greets you""}";$799.00;$400.00;$200.00;1;$0.00;3;18;88.0;9.0;9.0;9.0;10.0;10.0;9.0;f;f;strict;9;2019
452;within a day;100%;f;1.0;f;Santa Teresa;Apartment;Entire home/apt;3;1.0;1.0;1.0;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Pets allowed"",""Free street parking"",""Buzzer/wireless intercom"",Essentials,Iron,""Hot water"",""Host greets you""}";$229.00;$600.00;$150.00;2;$50.00;3;2;;8.0;9.0;9.0;9.0;7.0;8.0;f;f;strict;9;2019
453;;;f;1.0;f;Ipanema;Apartment;Private room;2;2.0;1.0;1.0;"{Internet,Wifi,""Air conditioning"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom""}";$342.00;;;1;$0.00;5;6;70.0;8.0;8.0;10.0;10.0;10.0;6.0;f;f;flexible;9;2019
454;within a day;100%;f;1.0;f;Laranjeiras;Apartment;Private room;2;1.0;1.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$99.00;$500.00;;1;$50.00;3;5;89.0;9.0;8.0;10.0;9.0;9.0;8.0;f;f;moderate;9;2019
455;;;f;1.0;f;Ipanema;Apartment;Entire home/apt;5;2.0;2.0;3.0;"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,""Buzzer/wireless intercom"",""Family/kid friendly""}";$342.00;;$171.00;1;$0.00;2;12;93.0;10.0;10.0;10.0;10.0;9.0;9.0;f;f;strict;9;2019
456;a few days or more;20%;f;2.0;f;Copacabana;Dorm;Private room;1;1.0;1.0;1.0;"{Internet,Wifi,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,""Fire extinguisher"",""Lock on bedroom door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$150.00;$0.00;$0.00;1;$0.00;7;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;9;2019
457;within an hour;100%;t;1.0;f;Flamengo;Apartment;Entire home/apt;6;1.0;2.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Luggage dropoff allowed""}";$92.00;$500.00;$80.00;1;$0.00;2;61;98.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict;9;2019
458;within an hour;100%;t;2.0;t;Copacabana;Apartment;Private room;1;1.0;1.0;2.0;"{TV,Wifi,Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Step-free access"",""Wide doorway"",""Step-free access"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Step-free access"",""Wide entryway"",Beachfront,""Handheld shower head""}";$68.00;$0.00;$40.00;1;$35.00;1;33;90.0;9.0;9.0;9.0;10.0;10.0;9.0;f;f;strict;9;2019
459;within a day;100%;f;1.0;t;Flamengo;Apartment;Entire home/apt;2;1.0;1.0;1.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials}";$249.00;;$150.00;1;$0.00;1;45;96.0;10.0;9.0;10.0;10.0;9.0;9.0;f;f;strict;9;2019
460;;;f;1.0;f;São Cristóvão;House;Private room;4;2.0;1.0;4.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Dog(s),""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""translation missing: en.hosting_amenity_50""}";$126.00;$200.00;$100.00;1;$70.00;1;3;90.0;10.0;10.0;10.0;10.0;7.0;10.0;f;f;strict;9;2019
461;;;f;1.0;f;Vargem Grande;House;Entire home/apt;5;1.0;2.0;5.0;"{TV,Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Dog(s),""Family/kid friendly""}";$301.00;;$70.00;5;$50.00;2;0;;;;;;;;f;f;moderate;9;2019
462;within an hour;100%;f;6.0;t;Leblon;Apartment;Entire home/apt;6;2.0;3.0;3.0;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Host greets you""}";$400.00;$1,000.00;$150.00;1;$40.00;3;9;94.0;9.0;9.0;10.0;10.0;8.0;8.0;f;f;strict;9;2019
463;;;f;2.0;t;Copacabana;Apartment;Entire home/apt;6;3.0;2.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Long term stays allowed""}";$168.00;$1,027.00;$154.00;2;$0.00;3;13;100.0;10.0;10.0;9.0;10.0;9.0;10.0;t;f;strict;9;2019
