;host_response_time;host_response_rate;host_is_superhost;host_listings_count;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;mes;ano
173;within a day;100%;t;4.0;t;Copacabana;Bed and breakfast;Private room;2;2.0;1.0;1.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Breakfast,""Pets live on this property"",Cat(s),Elevator,Washer,""First aid kit"",""Lock on bedroom door""}";$168.00;;$188.00;1;$0.00;2;20;99.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;9;2019
174;within a day;100%;t;4.0;t;Copacabana;Bed and breakfast;Private room;2;1.0;1.0;1.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Breakfast,""Pets live on this property"",Cat(s),Elevator,""Family/kid friendly"",Washer,""First aid kit"",""Lock on bedroom door""}";$79.00;;$188.00;1;$0.00;2;20;98.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;9;2019
175;within a day;100%;t;4.0;t;Copacabana;Bed and breakfast;Private room;2;1.0;1.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Breakfast,""Pets live on this property"",Dog(s),Cat(s),Elevator,""Family/kid friendly"",Washer,""First aid kit"",""Lock on bedroom door"",""Window guards""}";$99.00;;$188.00;1;$0.00;2;28;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;9;2019
176;within a day;100%;f;1.0;f;Vargem Grande;House;Entire home/apt;16;5.0;5.0;16.0;"{TV,Wifi,""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",""Family/kid friendly"",""Suitable for events"",Washer}";$857.00;$2,000.00;$252.00;1;$157.00;2;1;;6.0;4.0;10.0;8.0;8.0;8.0;f;f;strict;9;2019
177;;;f;1.0;f;Flamengo;Apartment;Private room;2;1.0;1.0;1.0;"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer}";$683.00;;;1;$0.00;1;0;;;;;;;;f;f;flexible;9;2019
178;within a few hours;67%;f;4.0;f;Ipanema;Apartment;Entire home/apt;7;2.0;3.0;3.0;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$601.00;$0.00;$0.00;1;$100.00;30;3;90.0;10.0;8.0;9.0;10.0;8.0;8.0;f;f;strict;9;2019
179;within an hour;100%;t;1.0;f;Santa Teresa;Loft;Entire home/apt;4;1.0;1.0;2.0;"{Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",""Free street parking"",""Family/kid friendly"",Essentials,""24-hour check-in"",""Laptop friendly workspace"",""High chair"",""Children’s books and toys"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}";$171.00;;;3;$0.00;2;211;97.0;10.0;10.0;10.0;10.0;9.0;10.0;t;f;moderate;9;2019
180;within an hour;100%;f;2.0;f;Tijuca;Apartment;Private room;2;;1.0;1.0;"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,""First aid kit"",""Fire extinguisher""}";$199.00;;;1;$0.00;1;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;moderate;9;2019
181;;;f;2.0;f;Copacabana;Apartment;Private room;1;3.5;1.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Doorman,""Pets live on this property"",Dog(s),Elevator,""Hot tub"",""Buzzer/wireless intercom"",Washer,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$120.00;;$150.00;1;$0.00;3;0;;;;;;;;f;f;strict;9;2019
182;within an hour;100%;t;1.0;t;Recreio dos Bandeirantes;Apartment;Entire home/apt;4;2.0;2.0;2.0;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,Elevator,""Hot tub"",""Buzzer/wireless intercom"",Washer,Dryer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Host greets you""}";$175.00;;;2;$50.00;5;69;94.0;10.0;9.0;10.0;10.0;10.0;9.0;t;f;moderate;9;2019
